stop_id,stop_name,stop_lat,stop_lon,location_type
740000001,Stockholm Centralstation,59.330140,18.058155,
740000027,Märsta station,59.628181,17.861620,
740000031,Flemingsberg station,59.217958,17.945683,
740000049,Södertälje hamn station,59.179302,17.646538,
740000055,Södertälje Syd station,59.162411,17.645368,
740000284,Kungsängen station,59.477882,17.752499,
740000383,Barkarby station,59.404568,17.866055,
740000492,Arlanda Södra station,59.646172,17.928351,
740000556,Arlanda Centralstation,59.649570,17.929186,
740000622,Stockholm Cityterminalen,59.330844,18.056374,
740000623,Rotebro station,59.476404,17.914337,
740000660,Bålsta station,59.568758,17.532813,
740000665,Norrtälje busstation,59.759457,18.699231,
740000666,Rimbo busstation,59.743663,18.368648,
740000667,Sigtuna busstation,59.617423,17.723103,
740000687,Bro station,59.511422,17.635910,
740000690,Ekerö centrum,59.290194,17.809957,
740000692,Farsta Strand station,59.236536,18.101664,
740000693,Fisksätra station,59.294156,18.256648,
740000698,Gustavsberg centrum,59.326524,18.391271,
740000699,Handen station,59.167568,18.134469,
740000701,Helenelund station,59.409635,17.961531,
740000702,Huddinge station,59.237274,17.980261,
740000703,Häggvik station,59.444372,17.932268,
740000705,Jakobsberg station,59.423414,17.832892,
740000706,Jordbro station,59.141501,18.125795,
740000708,Arlanda Norra station,59.651567,17.930643,
740000709,Järna station,59.093369,17.567246,
740000710,Kallhäll station,59.453239,17.805754,
740000713,Kårsta station,59.656785,18.267464,
740000714,Lidingö centrum,59.365071,18.132826,
740000716,Mörby centrum T-bana,59.398709,18.036220,
740000717,Nacka station,59.306553,18.130056,
740000718,Norrviken station,59.458221,17.924300,
740000719,Nynäshamn färjeterminal,58.904692,17.955631,
740000721,Södertälje centrum station,59.192464,17.626858,
740000727,Nynäshamn station,58.900796,17.952821,
740000730,Orminge centrum,59.325060,18.258416,
740000739,Rosersberg station,59.583376,17.879866,
740000740,Roslags Näsby station,59.435495,18.057891,
740000748,Rönninge station,59.193607,17.749429,
740000751,Saltsjöbaden station,59.279019,18.313032,
740000757,Skogås station,59.218174,18.154294,
740000758,Sollentuna station,59.428849,17.948037,
